name,wikiname,party,state,district,area,term,source,start_date,end_date,id
Denis Lebel,Denis Lebel,Conservative,Quebec,Roberval—Lac-Saint-Jean,Quebec (Roberval—Lac-Saint-Jean),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,denis-lebel
Alexandre Boulerice,Alexandre Boulerice,NDP,Quebec,Rosemont—La Petite-Patrie,Quebec (Rosemont—La Petite-Patrie),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,alexandre-boulerice
Djaouida Sellah,Djaouida Sellah,NDP,Quebec,Saint-Bruno—Saint-Hubert,Quebec (Saint-Bruno—Saint-Hubert),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,djaouida-sellah
Marie-Claude Morin,Marie-Claude Morin,NDP,Quebec,Saint-Hyacinthe—Bagot,Quebec (Saint-Hyacinthe—Bagot),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,marie-claude-morin
Tarik Brahmi,Tarik Brahmi,NDP,Quebec,Saint-Jean,Quebec (Saint-Jean),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,tarik-brahmi
Sadia Groguhé,Sadia Groguhé,NDP,Quebec,Saint-Lambert,Quebec (Saint-Lambert),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,sadia-groguhé
Stéphane Dion,Stéphane Dion,Liberal,Quebec,Saint-Laurent—Cartierville,Quebec (Saint-Laurent—Cartierville),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,stéphane-dion
Massimo Pacetti,Massimo Pacetti,Liberal,Quebec,Saint-Léonard—Saint-Michel,Quebec (Saint-Léonard—Saint-Michel),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,massimo-pacetti
Lise St-Denis,Lise St-Denis,NDP,Quebec,Saint-Maurice—Champlain,Quebec (Saint-Maurice—Champlain),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,lise-st-denis
Réjean Genest,Réjean Genest,NDP,Quebec,Shefford,Quebec (Shefford),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,réjean-genest
Pierre-Luc Dusseault,Pierre-Luc Dusseault,NDP,Quebec,Sherbrooke,Quebec (Sherbrooke),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,pierre-luc-dusseault
Charmaine Borg,Charmaine Borg,NDP,Quebec,Terrebonne—Blainville,Quebec (Terrebonne—Blainville),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,charmaine-borg
Robert Aubin,Robert Aubin,NDP,Quebec,Trois-Rivières,Quebec (Trois-Rivières),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,robert-aubin
Jamie Nicholls,Jamie Nicholls,NDP,Quebec,Vaudreuil-Soulanges,Quebec (Vaudreuil-Soulanges),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jamie-nicholls
Sana Hassainia,Sana Hassainia,NDP,Quebec,Verchères—Les Patriotes,Quebec (Verchères—Les Patriotes),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,sana-hassainia
Marc Garneau,Marc Garneau,Liberal,Quebec,Westmount—Ville-Marie,Quebec (Westmount—Ville-Marie),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,marc-garneau
Gerry Ritz,Gerry Ritz,Conservative,Saskatchewan,Battlefords—Lloydminster,Saskatchewan (Battlefords—Lloydminster),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,gerry-ritz
Lynne Yelich,Lynne Yelich,Conservative,Saskatchewan,Blackstrap,Saskatchewan (Blackstrap),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,lynne-yelich
David L. Anderson,David L. Anderson,Conservative,Saskatchewan,Cypress Hills—Grasslands,Saskatchewan (Cypress Hills—Grasslands),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,david-l.-anderson
Rob Clarke,Rob Clarke,Conservative,Saskatchewan,Desnethé—Missinippi—Churchill River,Saskatchewan (Desnethé—Missinippi—Churchill River),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rob-clarke
Ray Boughen,Ray Boughen,Conservative,Saskatchewan,Palliser,Saskatchewan (Palliser),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ray-boughen
Randy Hoback,Randy Hoback,Conservative,Saskatchewan,Prince Albert,Saskatchewan (Prince Albert),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,randy-hoback
Tom Lukiwski,Tom Lukiwski,Conservative,Saskatchewan,Regina—Lumsden—Lake Centre,Saskatchewan (Regina—Lumsden—Lake Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,tom-lukiwski
Andrew Scheer,Andrew Scheer,Conservative,Saskatchewan,Regina—Qu'Appelle,Saskatchewan (Regina—Qu'Appelle),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,andrew-scheer
Bradley Trost,Bradley Trost,Conservative,Saskatchewan,Saskatoon—Humboldt,Saskatchewan (Saskatoon—Humboldt),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bradley-trost
Kelly Block,Kelly Block,Conservative,Saskatchewan,Saskatoon—Rosetown—Biggar,Saskatchewan (Saskatoon—Rosetown—Biggar),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,kelly-block
Maurice Vellacott,Maurice Vellacott,Conservative,Saskatchewan,Saskatoon—Wanuskewin,Saskatchewan (Saskatoon—Wanuskewin),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,maurice-vellacott
Ed Komarnicki,Ed Komarnicki,Conservative,Saskatchewan,Souris—Moose Mountain,Saskatchewan (Souris—Moose Mountain),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ed-komarnicki
Ralph Goodale,Ralph Goodale,Liberal,Saskatchewan,Wascana,Saskatchewan (Wascana),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ralph-goodale
Garry Breitkreuz,Garry Breitkreuz,Conservative,Saskatchewan,Yorkton—Melville,Saskatchewan (Yorkton—Melville),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,garry-breitkreuz
Leona Aglukkaq,Leona Aglukkaq,Conservative,The North,Nunavut,The North (Nunavut),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,leona-aglukkaq
Dennis Bevington,Dennis Bevington,NDP,The North,Northwest Territories (Western Arctic until 2014),The North (Northwest Territories (Western Arctic until 2014)),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,dennis-bevington
Ryan Leef,Ryan Leef,Conservative,The North,Yukon,The North (Yukon),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ryan-leef
